Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BTN1,ChA_Btn,Low_Profile_LED_Button,122.0,-120.0,0.0,top
BTN2,ChB_Btn,Low_Profile_LED_Button,137.1,-120.0,180.0,top
BTN3,ChC_Btn,Low_Profile_LED_Button,152.0,-120.0,0.0,top
C1,4.7uF,C_0805_2012Metric,138.4,-81.0,0.0,bottom
C2,22uF,CP_Elec_4x5.8,143.8,-57.3,270.0,bottom
C3,100nF,C_0805_2012Metric,157.0,-69.9,180.0,bottom
C4,30pF,C_0805_2012Metric,153.15,-89.4,180.0,bottom
C5,30pF,C_0805_2012Metric,149.55,-89.4,0.0,bottom
C6,100nF,C_0805_2012Metric,157.4,-79.6,180.0,bottom
C7,100nF,C_0805_2012Metric,146.9,-85.6,270.0,bottom
C8,22uF,CP_Elec_4x5.8,158.2,-57.3,270.0,bottom
C9,4.7uF,C_0805_2012Metric,138.4,-73.2,0.0,bottom
C10,100nF,C_0805_2012Metric,138.4,-78.9,0.0,bottom
C11,4.7uF,C_0805_2012Metric,140.6,-85.6,270.0,bottom
C12,100nF,C_0805_2012Metric,138.4,-71.1,0.0,bottom
C13,100nF,C_0805_2012Metric,144.8,-85.6,270.0,bottom
C14,1uF,C_0805_2012Metric,142.7,-85.6,270.0,bottom
C15,4.7uF,C_0805_2012Metric,115.0,-79.8,180.0,bottom
D1,1N5819,D_SOD-123,139.1,-57.3,270.0,bottom
D2,1N5819,D_SOD-123,112.3,-56.8,90.0,bottom
D3,1N4148W,D_SOD-123,145.7,-113.4,180.0,bottom
D4,RCLAMP0502B,SOT-416,164.2,-137.2,90.0,bottom
J1,SWD_Header,SWD_header,166.2,-67.41,270.0,bottom
J2,Eurorack_10_pin_power,Eurorack_10_pin_header,125.38,-57.295,180.0,bottom
J3,ChannelC_In,THONKICONN_hole,152.78,-132.0,90.0,top
J4,ChannelA_In,THONKICONN_hole,122.78,-132.0,90.0,top
J5,ChannelB_In,THONKICONN_hole,137.78,-132.0,90.0,top
J6,ChC_Buff_Out,THONKICONN_hole,152.78,-145.2,90.0,top
J7,ChA_Buff_Out,THONKICONN_hole,122.78,-145.2,90.0,top
J8,ChB_Buff_Out,THONKICONN_hole,137.78,-145.2,90.0,top
J9,MIDI_IN,Thonkiconn_Stereo-PJ366ST,108.38,-132.0,90.0,top
J10,MIDI_THROUGH,Thonkiconn_Stereo-PJ366ST,108.38,-145.2,90.0,top
J11,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401951E412A,164.1,-144.1,-90.0,top
J12,Debug,PinHeader_1x03_P2.54mm_Vertical,166.0,-90.285,180.0,bottom
L1,L,R_0805_2012Metric,138.6,-85.6,270.0,bottom
R1,150,R_0805_2012Metric,109.0,-56.9,270.0,bottom
R2,100k,R_0805_2012Metric,128.1,-79.8,180.0,bottom
R3,100k,R_0805_2012Metric,128.1,-83.8,0.0,bottom
R4,100k,R_0805_2012Metric,115.0,-77.8,0.0,bottom
R5,100k,R_0805_2012Metric,115.0,-75.8,0.0,bottom
R6,100k,R_0805_2012Metric,128.1,-77.8,180.0,bottom
R7,100k,R_0805_2012Metric,128.1,-73.8,0.0,bottom
R8,14k,R_0805_2012Metric,128.1,-81.8,180.0,bottom
R9,14k,R_0805_2012Metric,115.0,-73.8,0.0,bottom
R10,14k,R_0805_2012Metric,128.1,-75.8,180.0,bottom
R11,10k,R_0805_2012Metric,115.0,-81.9,0.0,bottom
R12,10k,R_0805_2012Metric,115.0,-83.9,180.0,bottom
R13,100,R_0805_2012Metric,128.1,-87.6,0.0,bottom
R14,100,R_0805_2012Metric,114.9,-87.6,180.0,bottom
R15,100,R_0805_2012Metric,114.9,-92.7,180.0,bottom
R16,220,R_0805_2012Metric,145.7,-110.4,180.0,bottom
R17,470,R_0805_2012Metric,136.6,-85.6,90.0,bottom
R18,560,R_0805_2012Metric,105.1,-88.9,0.0,bottom
R19,560,R_0805_2012Metric,105.1,-91.5,0.0,bottom
R20,560,R_0805_2012Metric,145.7,-116.6,0.0,bottom
SW1,Reset_Button,SW_PUSH_6mm_aligned,164.0,-131.2,-90.0,top
SW2,Menu_Button,Low-Profile_Push_Button,135.5,-103.0,90.0,top
SW3,Left_Encoder,Encoder,111.2,-105.25,0.0,top
SW4,Right_Encoder,Encoder,159.2,-105.25,0.0,top
U1,LT1117-3.3,SOT-223-3_TabPin2,151.1,-56.7,270.0,bottom
U2,ILI9341_SPI_Daughterboard,ILI9341_SPI_daughterboard_v2,134.05,-68.97,0.0,top
U3,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,148.0,-75.9,0.0,bottom
U4,TL074,SOIC-14_3.9x8.7mm_P1.27mm,121.5,-91.2,90.0,bottom
U5,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,121.5,-78.7,270.0,bottom
U6,H11L1,H11L1,145.325,-101.2,0.0,bottom
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm_Large_Pads,151.35,-86.2,180.0,bottom
